hash,file,bundle,offset,size
dd5574868ad7e6d0,point_u.mat,Tiny.VD.1,5313278,346
476977c80d1863ae,bmi_blood_spray_02_u.mat,Tiny.V9.1,28472672,10056
ca38cb2dbf3da3be,blur_shockwave_sphere_r.mat,Tiny.VD.1,27605206,9274
18d3081a7f6a6a9a,blur_shockwave_sphere_u.mat,Tiny.VD.1,27614480,2168
cd82b8b8f69d3a54,rs_caustics_r.mat,Tiny.V3.1,25987177,10378
34129cbf064e213d,rs_mortarimpact_rescalepnt_u.mat,Tiny.V1.1,24978502,2172
9c283691cac8a289,rs_pulse_02_r.mat,Tiny.V0.1,156605942,21628
2e1000dc12ae35ed,rs_impact_flash_02_r.mat,Tiny.VE.1,154984228,19370
83110cd8cd844563,rs_gore_sphere_01_r.mat,Tiny.VB.1,156826177,33504
3dfe71c82cf8bd0d,rs_zoom_distort_2_r.mat,Tiny.V3.1,25997555,10718
7a584e718522f4cf,rs_blood_cyl_02_r.mat,Tiny.V9.1,158551750,44442
82c9c9daf5a2aebf,rs_blood_spray_02_r.mat,Tiny.VF.1,154080494,23034
b25ba6d8cc7eb2ff,explode_splash_01_r.mat,Tiny.VE.1,154933862,50366
ad40bb84518b7043,explode_splash_01_u.mat,Tiny.V8.1,156868346,29514
5feba9e72c97a9fe,grd_cracks_r.mat,Tiny.V7.1,154337104,43486
a842632c4dd01474,ground_debris_r2.mat,Tiny.VD.1,157175780,35458
d3d11e08600ffd62,ground_debris_u2.mat,Tiny.VA.1,155695660,32316
6f6919954b3536f9,mblur_sphere_r.mat,Tiny.VD.1,27616648,11010
1739ade1d65f876e,mblur_sphere_u.mat,Tiny.VE.1,12548232,310
97d2b5c063b934c9,mblur_radial_r.mat,Tiny.V6.1,156680645,13540
f75f7e385b7b88b9,mblur_radial_u.mat,Tiny.VA.1,83226442,4282
40aa084b96b3f510,impact_dir_r.mat,Tiny.VF.1,154040150,40344
ee177bdadd04e90c,impact_dir_u.mat,Tiny.V2.1,158852662,7120
a8149c0bc350eaa9,distortion_cone_r.mat,Tiny.V4.1,156265706,12614
79448d9aec91198f,distortion_cone_u.mat,Tiny.V9.1,87164048,3460
f849858749126154,distortion_u1.mat,Tiny.VD.1,80602010,9182
d39c96c0d8f0b2b9,distortion_u2.mat,Tiny.VD.1,80611192,10558
a6c7974d45deac81,distortion_r1.mat,Tiny.V0.1,81652818,16788
43b5a698ec67b197,distortion_r2.mat,Tiny.VC.1,83448501,13038
c6a9213d6f72fe63,shimmerwave_r.mat,Tiny.V9.1,28506314,20474
7b4c61e523095d52,shimmerwave_u.mat,Tiny.VE.1,12548232,310
62a95def69b2ba72,shockwave_r.mat,Tiny.VC.1,159971553,27488
eb6387197db9043c,shockwave_u.mat,Tiny.VC.1,85578567,2428
d63b83b2ec4ff3e1,spit_r.mat,Tiny.VB.1,156859681,36416
f9b6eef063a14a6f,spit_u.mat,Tiny.V6.1,82125291,15374
